date,ARKK_shares_adj,ARKQ_shares_adj,combined_shares_adj,ARKK_weight_pct,ARKQ_weight_pct,TSLA_close
2021-10-21,7387791.0,1016187.0,8403978.0,9.99,11.3,298.0
2021-10-22,7275057.0,1001307.0,8276364.0,10.1,11.46,303.2266540527344
2021-10-25,7094073.0,1001307.0,8095380.0,10.24,11.82,341.6199951171875
2021-10-26,7082157.0,999714.0,8081871.0,11.15,12.88,339.4766540527344
2021-10-27,6802389.0,937914.0,7740303.0,10.67,12.11,345.9533386230469
2021-10-28,6618867.0,883548.0,7502415.0,10.87,11.82,359.0133361816406
2021-11-15,5943384.0,861015.0,6804399.0,10.01,11.09,337.7966613769531
2021-11-16,5967492.0,861015.0,6828507.0,9.91,10.89,351.57666015625
2021-11-17,5979546.0,861015.0,6840561.0,10.18,11.22,363.0033264160156
2021-11-18,5965770.0,859605.0,6825375.0,10.68,11.69,365.4599914550781
2021-11-19,5881929.0,856785.0,6738714.0,10.88,11.9,379.0199890136719
2021-11-22,5774289.0,855375.0,6629664.0,11.26,12.38,385.6233215332031
2021-11-23,5511753.0,783417.0,6295170.0,11.3,12.01,369.6766662597656
2021-11-24,5153508.0,780813.0,5934321.0,10.38,11.59,372.0
2021-11-26,4996002.0,780813.0,5776815.0,9.95,11.42,360.6400146484375
2021-11-29,4993122.0,780813.0,5773935.0,9.7,11.36,378.9966735839844
2021-11-30,5008962.0,779511.0,5788473.0,10.22,11.94,381.586669921875
2021-12-01,4934514.0,776907.0,5711421.0,10.27,12.09,365.0
2021-12-02,4907553.0,774303.0,5681856.0,10.49,11.87,361.5333251953125
2021-12-03,4735734.0,771699.0,5507433.0,9.98,11.68,338.3233337402344
2021-12-06,4328718.0,761283.0,5090001.0,9.16,11.31,336.336669921875
2021-12-07,4256079.0,759981.0,5016060.0,8.76,11.13,350.5833435058594
2021-12-08,4267203.0,758679.0,5025882.0,8.64,11.35,356.32000732421875
2021-12-09,4257315.0,758679.0,5015994.0,8.52,11.37,334.6000061035156
2021-12-10,4144212.0,744714.0,4888926.0,8.29,10.79,339.010009765625
2021-12-13,4052325.0,734532.0,4786857.0,8.39,10.87,322.13665771484375
2021-12-14,4080909.0,732006.0,4812915.0,8.11,10.55,319.5033264160156
2021-12-15,4089246.0,729480.0,4818726.0,8.14,10.59,325.3299865722656
2021-12-16,3955887.0,702348.0,4658235.0,7.73,10.35,308.97332763671875
2021-12-17,3897075.0,696213.0,4593288.0,7.61,10.11,310.8566589355469
2021-12-20,3903861.0,694986.0,4598847.0,7.23,10.06,299.9800109863281
2021-12-21,3907254.0,694986.0,4602240.0,7.17,9.96,312.84332275390625
2021-12-22,3941184.0,692532.0,4633716.0,7.21,10.01,336.2900085449219
2021-12-23,3927612.0,692532.0,4620144.0,7.75,10.66,355.6666564941406
2021-12-27,3928743.0,691305.0,4620048.0,8.12,11.11,364.64666748046875
